strategy,lambda,auroc_mean,auroc_ci,auroc,auprc_mean,auprc_ci,auprc,f1_mean,f1_ci,f1,accuracy_mean,accuracy_ci,accuracy,sensitivity_mean,sensitivity_ci,sensitivity,specificity_mean,specificity_ci,specificity
clean,0.0,0.9999902390120349,9.832548801138089e-06,1.0000 ± 0.0000,0.9999902567757003,9.811525549850524e-06,1.0000 ± 0.0000,0.9985859613084017,0.0010265279067481687,0.9986 ± 0.0010,0.9985876942328794,0.0010249110869857906,0.9986 ± 0.0010,0.9981206499316393,0.0015632009794884557,0.9981 ± 0.0016,0.9990547385341196,0.0008955280323714573,0.9991 ± 0.0009
clean,0.25,0.9991928556270295,0.00040549945255199054,0.9992 ± 0.0004,0.9992154429200978,0.0003989682099906344,0.9992 ± 0.0004,0.951222640372434,0.010570009200571022,0.9512 ± 0.0106,0.9536827790162198,0.009547311484177453,0.9537 ± 0.0095,0.908985070769116,0.019773365798209503,0.9090 ± 0.0198,0.9983804872633233,0.0016182211204782099,0.9984 ± 0.0016
clean,0.5,0.9962804293439831,0.0012154872019860426,0.9963 ± 0.0012,0.9964536553192334,0.001268651390734523,0.9965 ± 0.0013,0.863041198549341,0.024181292745926373,0.8630 ± 0.0242,0.880466773198952,0.018926295384227368,0.8805 ± 0.0189,0.7622345877970012,0.038547721728202144,0.7622 ± 0.0385,0.998698958600903,0.0013442694998476868,0.9987 ± 0.0013
clean,1.0,0.9828294432596927,0.0024551741669519697,0.9828 ± 0.0025,0.9835457081061486,0.0025111898000502514,0.9835 ± 0.0025,0.6245378248763934,0.03633120634113168,0.6245 ± 0.0363,0.727984321158264,0.019545135774020006,0.7280 ± 0.0195,0.4575659561510411,0.03981291563602706,0.4576 ± 0.0398,0.9984026861654867,0.0013268344202845947,0.9984 ± 0.0013
clean,5.0,0.7040241352710229,0.01157321476083465,0.7040 ± 0.0116,0.7002377011225683,0.011696678830132961,0.7002 ± 0.0117,0.019818379528338554,0.007337273373591336,0.0198 ± 0.0073,0.5043893462815245,0.0017745722256998222,0.5044 ± 0.0018,0.010061807103728523,0.0037648675218663915,0.0101 ± 0.0038,0.9987168854593206,0.0013346805711916326,0.9987 ± 0.0013
clean,10.0,0.5735740665745361,0.015788192437552657,0.5736 ± 0.0158,0.5692245782688714,0.013481436881533743,0.5692 ± 0.0135,0.006981029038678916,0.0037348488071653847,0.0070 ± 0.0037,0.5014453398623966,0.0008351908516363952,0.5014 ± 0.0008,0.0035158995286303715,0.0018870718953825961,0.0035 ± 0.0019,0.9993747801961627,0.0007752007744830567,0.9994 ± 0.0008
clean,25.0,0.5162199020056978,0.01392955669174077,0.5162 ± 0.0139,0.5217035217024069,0.015486175710406795,0.5217 ± 0.0155,0.0024718920688813766,0.0025616594319617008,0.0025 ± 0.0026,0.4998131466041828,0.0008255543794556721,0.4998 ± 0.0008,0.001245805945042282,0.001293987045497894,0.0012 ± 0.0013,0.9983804872633233,0.0016182211204782099,0.9984 ± 0.0016
clean,50.0,0.4940241623307907,0.011030973869394726,0.4940 ± 0.0110,0.5022209983117266,0.008001700435235692,0.5022 ± 0.0080,0.0025138660450161727,0.00258567545908963,0.0025 ± 0.0026,0.49983534550634623,0.0005185094720794387,0.4998 ± 0.0005,0.001268004847205666,0.0013065896709455048,0.0013 ± 0.0013,0.9984026861654867,0.0013268344202845947,0.9984 ± 0.0013
clean,75.0,0.5040749279543654,0.009263741410508375,0.5041 ± 0.0093,0.5081210207532163,0.00915682879315738,0.5081 ± 0.0092,0.0031254868401232065,0.002607251342446926,0.0031 ± 0.0026,0.5001420939726039,0.0005210668052268074,0.5001 ± 0.0005,0.0015747533134633346,0.0013166846431478952,0.0016 ± 0.0013,0.9987094346317443,0.001318834630770018,0.9987 ± 0.0013
clean,100.0,0.5003469119170709,0.015344160945371292,0.5003 ± 0.0153,0.5024151141954528,0.01462345994481392,0.5024 ± 0.0146,0.0019297747797904045,0.0018273976131246402,0.0019 ± 0.0018,0.49953943468981643,0.0007664263238529222,0.4995 ± 0.0008,0.0009720940306759951,0.000920465228358124,0.0010 ± 0.0009,0.9981067753489571,0.0018048613201501892,0.9981 ± 0.0018
