Lambda,mean,ci,per_fold
0.0,"{'auroc': 0.9217306000000001, 'f1': 0.8519988000000002, 'auprc': 0.9302620000000001, 'accuracy': 0.8508158, 'sensitivity': 0.8572980000000001, 'specificity': 0.8443336}","{'auroc': 0.006404064267196331, 'f1': 0.010731150024332111}","[{'accuracy': 0.859524, 'auroc': 0.923419, 'auprc': 0.930883, 'f1': 0.856214, 'sensitivity': 0.836508, 'specificity': 0.88254, 'tp': 527, 'tn': 556, 'fp': 74, 'fn': 103, 'learned_threshold_db': 8.868087216471078}, {'accuracy': 0.862229, 'auroc': 0.931177, 'auprc': 0.938754, 'f1': 0.862442, 'sensitivity': 0.863777, 'specificity': 0.860681, 'tp': 558, 'tn': 556, 'fp': 90, 'fn': 88, 'learned_threshold_db': 8.837966075055535}, {'accuracy': 0.857843, 'auroc': 0.92505, 'auprc': 0.936909, 'f1': 0.856908, 'sensitivity': 0.851307, 'specificity': 0.864379, 'tp': 521, 'tn': 529, 'fp': 83, 'fn': 91, 'learned_threshold_db': 8.88171315986108}, {'accuracy': 0.820251, 'auroc': 0.909057, 'auprc': 0.920491, 'f1': 0.827949, 'sensitivity': 0.864992, 'specificity': 0.77551, 'tp': 551, 'tn': 494, 'fp': 143, 'fn': 86, 'learned_threshold_db': 8.54583818193474}, {'accuracy': 0.854232, 'auroc': 0.91995, 'auprc': 0.924273, 'f1': 0.856481, 'sensitivity': 0.869906, 'specificity': 0.838558, 'tp': 555, 'tn': 535, 'fp': 103, 'fn': 83, 'learned_threshold_db': 8.85356531105791}]"
0.25,"{'auroc': 0.8924957999999998, 'f1': 0.8175367999999998, 'auprc': 0.8979698, 'accuracy': 0.8161652, 'sensitivity': 0.8226482, 'specificity': 0.8096826}","{'auroc': 0.009532424572435456, 'f1': 0.015506321365122379}","[{'accuracy': 0.836508, 'auroc': 0.903883, 'auprc': 0.904592, 'f1': 0.834405, 'sensitivity': 0.82381, 'specificity': 0.849206, 'tp': 519, 'tn': 535, 'fp': 95, 'fn': 111, 'learned_threshold_db': 8.22402549800631}, {'accuracy': 0.836687, 'auroc': 0.901207, 'auprc': 0.906553, 'f1': 0.836561, 'sensitivity': 0.835913, 'specificity': 0.837461, 'tp': 540, 'tn': 541, 'fp': 105, 'fn': 106, 'learned_threshold_db': 8.023141760085581}, {'accuracy': 0.818627, 'auroc': 0.896781, 'auprc': 0.907078, 'f1': 0.820388, 'sensitivity': 0.828431, 'specificity': 0.808824, 'tp': 507, 'tn': 495, 'fp': 117, 'fn': 105, 'learned_threshold_db': 8.027846149997528}, {'accuracy': 0.784929, 'auroc': 0.874382, 'auprc': 0.883137, 'f1': 0.789231, 'sensitivity': 0.805338, 'specificity': 0.764521, 'tp': 513, 'tn': 487, 'fp': 150, 'fn': 124, 'learned_threshold_db': 8.433518841957195}, {'accuracy': 0.804075, 'auroc': 0.886226, 'auprc': 0.888489, 'f1': 0.807099, 'sensitivity': 0.819749, 'specificity': 0.788401, 'tp': 523, 'tn': 503, 'fp': 135, 'fn': 115, 'learned_threshold_db': 8.199609029025966}]"
0.5,"{'auroc': 0.8472138000000001, 'f1': 0.7786592, 'auprc': 0.8398247999999999, 'accuracy': 0.7619132000000001, 'sensitivity': 0.8358886, 'specificity': 0.6879377999999999}","{'auroc': 0.012358420679886366, 'f1': 0.011215582120251958}","[{'accuracy': 0.792063, 'auroc': 0.868007, 'auprc': 0.851904, 'f1': 0.796584, 'sensitivity': 0.814286, 'specificity': 0.769841, 'tp': 513, 'tn': 485, 'fp': 145, 'fn': 117, 'learned_threshold_db': 7.283746728032347}, {'accuracy': 0.778638, 'auroc': 0.852009, 'auprc': 0.849711, 'f1': 0.79063, 'sensitivity': 0.835913, 'specificity': 0.721362, 'tp': 540, 'tn': 466, 'fp': 180, 'fn': 106, 'learned_threshold_db': 6.855503110581535}, {'accuracy': 0.755719, 'auroc': 0.848808, 'auprc': 0.853843, 'f1': 0.77468, 'sensitivity': 0.839869, 'specificity': 0.671569, 'tp': 514, 'tn': 411, 'fp': 201, 'fn': 98, 'learned_threshold_db': 6.725425073052601}, {'accuracy': 0.747253, 'auroc': 0.824496, 'auprc': 0.815658, 'f1': 0.76462, 'sensitivity': 0.821036, 'specificity': 0.673469, 'tp': 523, 'tn': 429, 'fp': 208, 'fn': 114, 'learned_threshold_db': 7.115483980696193}, {'accuracy': 0.735893, 'auroc': 0.842749, 'auprc': 0.828008, 'f1': 0.766782, 'sensitivity': 0.868339, 'specificity': 0.603448, 'tp': 554, 'tn': 385, 'fp': 253, 'fn': 84, 'learned_threshold_db': 6.42923386394998}]"
1.0,"{'auroc': 0.7443754, 'f1': 0.721573, 'auprc': 0.70297, 'accuracy': 0.6602406000000001, 'sensitivity': 0.8808686, 'specificity': 0.4396124}","{'auroc': 0.016854303435252512, 'f1': 0.009724166376093732}","[{'accuracy': 0.679365, 'auroc': 0.770693, 'auprc': 0.719358, 'f1': 0.742347, 'sensitivity': 0.92381, 'specificity': 0.434921, 'tp': 582, 'tn': 274, 'fp': 356, 'fn': 48, 'learned_threshold_db': 4.883205167157369}, {'accuracy': 0.660217, 'auroc': 0.745311, 'auprc': 0.707082, 'f1': 0.718409, 'sensitivity': 0.866873, 'specificity': 0.45356, 'tp': 560, 'tn': 293, 'fp': 353, 'fn': 86, 'learned_threshold_db': 5.123856821867984}, {'accuracy': 0.648693, 'auroc': 0.74847, 'auprc': 0.730254, 'f1': 0.712567, 'sensitivity': 0.870915, 'specificity': 0.426471, 'tp': 533, 'tn': 261, 'fp': 351, 'fn': 79, 'learned_threshold_db': 5.252792950491901}, {'accuracy': 0.647567, 'auroc': 0.710715, 'auprc': 0.661062, 'f1': 0.711995, 'sensitivity': 0.871272, 'specificity': 0.423862, 'tp': 555, 'tn': 270, 'fp': 367, 'fn': 82, 'learned_threshold_db': 5.2397652836257675}, {'accuracy': 0.665361, 'auroc': 0.746688, 'auprc': 0.697094, 'f1': 0.722547, 'sensitivity': 0.871473, 'specificity': 0.459248, 'tp': 556, 'tn': 293, 'fp': 345, 'fn': 82, 'learned_threshold_db': 5.316815227995635}]"
5.0,"{'auroc': 0.5164717999999999, 'f1': 0.6672646, 'auprc': 0.5082293999999999, 'accuracy': 0.5021242, 'sensitivity': 0.9984097999999999, 'specificity': 0.0058386}","{'auroc': 0.015141678942986044, 'f1': 0.0015214469517393003}","[{'accuracy': 0.5, 'auroc': 0.511532, 'auprc': 0.498837, 'f1': 0.666314, 'sensitivity': 0.998413, 'specificity': 0.001587, 'tp': 629, 'tn': 1, 'fp': 629, 'fn': 1, 'learned_threshold_db': 1.1079882924686646}, {'accuracy': 0.5, 'auroc': 0.506724, 'auprc': 0.500526, 'f1': 0.665977, 'sensitivity': 0.996904, 'specificity': 0.003096, 'tp': 644, 'tn': 2, 'fp': 644, 'fn': 2, 'learned_threshold_db': 1.1229544439240275}, {'accuracy': 0.510621, 'auroc': 0.522531, 'auprc': 0.518243, 'f1': 0.670698, 'sensitivity': 0.996732, 'specificity': 0.02451, 'tp': 610, 'tn': 15, 'fp': 597, 'fn': 2, 'learned_threshold_db': 1.4003734442916738}, {'accuracy': 0.5, 'auroc': 0.495304, 'auprc': 0.487514, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.46391282863397587}, {'accuracy': 0.5, 'auroc': 0.546268, 'auprc': 0.536027, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 638, 'tn': 0, 'fp': 638, 'fn': 0, 'learned_threshold_db': 0.5300682467623747}]"
10.0,"{'auroc': 0.5035062, 'f1': 0.6667396, 'auprc': 0.5029648, 'accuracy': 0.5001634, 'sensitivity': 1.0, 'specificity': 0.00032680000000000003}","{'auroc': 0.011734221375615654, 'f1': 0.00012727341157052477}","[{'accuracy': 0.5, 'auroc': 0.49165, 'auprc': 0.490458, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 630, 'tn': 0, 'fp': 630, 'fn': 0, 'learned_threshold_db': 0.5308050115988282}, {'accuracy': 0.5, 'auroc': 0.498267, 'auprc': 0.495298, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 646, 'tn': 0, 'fp': 646, 'fn': 0, 'learned_threshold_db': 0.18502093567075065}, {'accuracy': 0.500817, 'auroc': 0.516706, 'auprc': 0.516105, 'f1': 0.66703, 'sensitivity': 1.0, 'specificity': 0.001634, 'tp': 612, 'tn': 1, 'fp': 611, 'fn': 0, 'learned_threshold_db': -0.24988387382688995}, {'accuracy': 0.5, 'auroc': 0.488928, 'auprc': 0.48723, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.21737065222011964}, {'accuracy': 0.5, 'auroc': 0.52198, 'auprc': 0.525733, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 638, 'tn': 0, 'fp': 638, 'fn': 0, 'learned_threshold_db': -0.3286948729924205}]"
25.0,"{'auroc': 0.502381, 'f1': 0.6667396, 'auprc': 0.5039452, 'accuracy': 0.5001634, 'sensitivity': 1.0, 'specificity': 0.00032680000000000003}","{'auroc': 0.010328422025503027, 'f1': 0.00012727341157052477}","[{'accuracy': 0.5, 'auroc': 0.489617, 'auprc': 0.4903, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 630, 'tn': 0, 'fp': 630, 'fn': 0, 'learned_threshold_db': 0.5712704560955333}, {'accuracy': 0.5, 'auroc': 0.495071, 'auprc': 0.494568, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 646, 'tn': 0, 'fp': 646, 'fn': 0, 'learned_threshold_db': 0.27433030716241014}, {'accuracy': 0.500817, 'auroc': 0.514135, 'auprc': 0.516914, 'f1': 0.66703, 'sensitivity': 1.0, 'specificity': 0.001634, 'tp': 612, 'tn': 1, 'fp': 611, 'fn': 0, 'learned_threshold_db': 0.4203387358010683}, {'accuracy': 0.5, 'auroc': 0.49419, 'auprc': 0.491057, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.2933683380996654}, {'accuracy': 0.5, 'auroc': 0.518892, 'auprc': 0.526887, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 638, 'tn': 0, 'fp': 638, 'fn': 0, 'learned_threshold_db': 0.527749307630968}]"
50.0,"{'auroc': 0.5019446000000001, 'f1': 0.6667396, 'auprc': 0.5037902, 'accuracy': 0.5001634, 'sensitivity': 1.0, 'specificity': 0.00032680000000000003}","{'auroc': 0.011364484562760811, 'f1': 0.00012727341157052477}","[{'accuracy': 0.5, 'auroc': 0.489073, 'auprc': 0.489, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 630, 'tn': 0, 'fp': 630, 'fn': 0, 'learned_threshold_db': 0.49563407376990615}, {'accuracy': 0.5, 'auroc': 0.492111, 'auprc': 0.493809, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 646, 'tn': 0, 'fp': 646, 'fn': 0, 'learned_threshold_db': 0.5122272940712063}, {'accuracy': 0.500817, 'auroc': 0.515325, 'auprc': 0.517674, 'f1': 0.66703, 'sensitivity': 1.0, 'specificity': 0.001634, 'tp': 612, 'tn': 1, 'fp': 611, 'fn': 0, 'learned_threshold_db': 0.17835893524357563}, {'accuracy': 0.5, 'auroc': 0.493273, 'auprc': 0.490707, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.47067101884853}, {'accuracy': 0.5, 'auroc': 0.519941, 'auprc': 0.527761, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 638, 'tn': 0, 'fp': 638, 'fn': 0, 'learned_threshold_db': 0.15040101346412366}]"
75.0,"{'auroc': 0.5024306, 'f1': 0.6667396, 'auprc': 0.5038558, 'accuracy': 0.5001634, 'sensitivity': 1.0, 'specificity': 0.00032680000000000003}","{'auroc': 0.011037103349345816, 'f1': 0.00012727341157052477}","[{'accuracy': 0.5, 'auroc': 0.489463, 'auprc': 0.489126, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 630, 'tn': 0, 'fp': 630, 'fn': 0, 'learned_threshold_db': 0.1893563682065237}, {'accuracy': 0.5, 'auroc': 0.494203, 'auprc': 0.49453, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 646, 'tn': 0, 'fp': 646, 'fn': 0, 'learned_threshold_db': -0.24988387382688995}, {'accuracy': 0.500817, 'auroc': 0.515307, 'auprc': 0.5173, 'f1': 0.66703, 'sensitivity': 1.0, 'specificity': 0.001634, 'tp': 612, 'tn': 1, 'fp': 611, 'fn': 0, 'learned_threshold_db': 0.36272899403423764}, {'accuracy': 0.5, 'auroc': 0.493239, 'auprc': 0.490794, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.4707897005267424}, {'accuracy': 0.5, 'auroc': 0.519941, 'auprc': 0.527529, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 638, 'tn': 0, 'fp': 638, 'fn': 0, 'learned_threshold_db': -0.5685037539580193}]"
100.0,"{'auroc': 0.502299, 'f1': 0.6668092000000001, 'auprc': 0.5037778, 'accuracy': 0.500475, 'sensitivity': 0.9996904000000001, 'specificity': 0.0012594}","{'auroc': 0.011087727712495117, 'f1': 0.00015271346005903046}","[{'accuracy': 0.5, 'auroc': 0.489002, 'auprc': 0.488936, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 630, 'tn': 0, 'fp': 630, 'fn': 0, 'learned_threshold_db': 0.23903881286447187}, {'accuracy': 0.500774, 'auroc': 0.494445, 'auprc': 0.494715, 'f1': 0.666667, 'sensitivity': 0.998452, 'specificity': 0.003096, 'tp': 645, 'tn': 2, 'fp': 644, 'fn': 1, 'learned_threshold_db': 1.2231538400964994}, {'accuracy': 0.500817, 'auroc': 0.514997, 'auprc': 0.517021, 'f1': 0.66703, 'sensitivity': 1.0, 'specificity': 0.001634, 'tp': 612, 'tn': 1, 'fp': 611, 'fn': 0, 'learned_threshold_db': 0.45420519283212923}, {'accuracy': 0.5, 'auroc': 0.493024, 'auprc': 0.490744, 'f1': 0.666667, 'sensitivity': 1.0, 'specificity': 0.0, 'tp': 637, 'tn': 0, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.5339886054953775}, {'accuracy': 0.500784, 'auroc': 0.520027, 'auprc': 0.527473, 'f1': 0.667015, 'sensitivity': 1.0, 'specificity': 0.001567, 'tp': 638, 'tn': 1, 'fp': 637, 'fn': 0, 'learned_threshold_db': 0.6907099282437403}]"
