Lambda,mean,ci,per_fold
0.0,"{'auroc': 0.9994999999999999, 'f1': 0.9878624, 'auprc': 0.9994860000000001, 'accuracy': 0.9877741999999999, 'sensitivity': 0.9936912, 'specificity': 0.9818576}","{'auroc': 0.00023362805365794838, 'f1': 0.0037990005112098634}","[{'accuracy': 0.985714, 'auroc': 0.999373, 'auprc': 0.999367, 'f1': 0.985827, 'sensitivity': 0.993651, 'specificity': 0.977778, 'tp': 626, 'tn': 616, 'fp': 14, 'fn': 4}, {'accuracy': 0.989164, 'auroc': 0.999133, 'auprc': 0.999048, 'f1': 0.989147, 'sensitivity': 0.987616, 'specificity': 0.990712, 'tp': 638, 'tn': 640, 'fp': 6, 'fn': 8}, {'accuracy': 0.982026, 'auroc': 0.999527, 'auprc': 0.999538, 'f1': 0.982229, 'sensitivity': 0.993464, 'specificity': 0.970588, 'tp': 608, 'tn': 594, 'fp': 18, 'fn': 4}, {'accuracy': 0.99529, 'auroc': 0.999951, 'auprc': 0.999951, 'f1': 0.995298, 'sensitivity': 0.99686, 'specificity': 0.993721, 'tp': 635, 'tn': 633, 'fp': 4, 'fn': 2}, {'accuracy': 0.986677, 'auroc': 0.999516, 'auprc': 0.999526, 'f1': 0.986811, 'sensitivity': 0.996865, 'specificity': 0.976489, 'tp': 636, 'tn': 623, 'fp': 15, 'fn': 2}]"
0.25,"{'auroc': 0.9990432, 'f1': 0.9852339999999999, 'auprc': 0.998983, 'accuracy': 0.985097, 'sensitivity': 0.9924403999999999, 'specificity': 0.9777533999999999}","{'auroc': 0.000529759944355187, 'f1': 0.0053686035956088}","[{'accuracy': 0.977778, 'auroc': 0.998365, 'auprc': 0.9983, 'f1': 0.978091, 'sensitivity': 0.992063, 'specificity': 0.963492, 'tp': 625, 'tn': 607, 'fp': 23, 'fn': 5}, {'accuracy': 0.983746, 'auroc': 0.998267, 'auprc': 0.997989, 'f1': 0.983759, 'sensitivity': 0.98452, 'specificity': 0.982972, 'tp': 636, 'tn': 635, 'fp': 11, 'fn': 10}, {'accuracy': 0.981209, 'auroc': 0.999426, 'auprc': 0.999437, 'f1': 0.981437, 'sensitivity': 0.993464, 'specificity': 0.968954, 'tp': 608, 'tn': 593, 'fp': 19, 'fn': 4}, {'accuracy': 0.996075, 'auroc': 0.999726, 'auprc': 0.999747, 'f1': 0.996072, 'sensitivity': 0.99529, 'specificity': 0.99686, 'tp': 634, 'tn': 635, 'fp': 2, 'fn': 3}, {'accuracy': 0.986677, 'auroc': 0.999432, 'auprc': 0.999442, 'f1': 0.986811, 'sensitivity': 0.996865, 'specificity': 0.976489, 'tp': 636, 'tn': 623, 'fp': 15, 'fn': 2}]"
0.5,"{'auroc': 0.9958792000000001, 'f1': 0.9740066000000001, 'auprc': 0.9953088000000001, 'accuracy': 0.9736965999999999, 'sensitivity': 0.9826032, 'specificity': 0.9647893999999999}","{'auroc': 0.002155240840307952, 'f1': 0.008393419503180146}","[{'accuracy': 0.964286, 'auroc': 0.992018, 'auprc': 0.991162, 'f1': 0.965035, 'sensitivity': 0.985714, 'specificity': 0.942857, 'tp': 621, 'tn': 594, 'fp': 36, 'fn': 9}, {'accuracy': 0.970588, 'auroc': 0.994316, 'auprc': 0.992102, 'f1': 0.970769, 'sensitivity': 0.97678, 'specificity': 0.964396, 'tp': 631, 'tn': 623, 'fp': 23, 'fn': 15}, {'accuracy': 0.96732, 'auroc': 0.997186, 'auprc': 0.997316, 'f1': 0.96769, 'sensitivity': 0.978758, 'specificity': 0.955882, 'tp': 599, 'tn': 585, 'fp': 27, 'fn': 13}, {'accuracy': 0.992151, 'auroc': 0.999098, 'auprc': 0.999248, 'f1': 0.992101, 'sensitivity': 0.985871, 'specificity': 0.99843, 'tp': 628, 'tn': 636, 'fp': 1, 'fn': 9}, {'accuracy': 0.974138, 'auroc': 0.996778, 'auprc': 0.996716, 'f1': 0.974438, 'sensitivity': 0.985893, 'specificity': 0.962382, 'tp': 629, 'tn': 614, 'fp': 24, 'fn': 9}]"
1.0,"{'auroc': 0.980043, 'f1': 0.9328480000000001, 'auprc': 0.9774646, 'accuracy': 0.9328096, 'sensitivity': 0.9333820000000002, 'specificity': 0.9322372}","{'auroc': 0.004794699314227744, 'f1': 0.003943913149388555}","[{'accuracy': 0.93254, 'auroc': 0.973651, 'auprc': 0.967166, 'f1': 0.93416, 'sensitivity': 0.957143, 'specificity': 0.907937, 'tp': 603, 'tn': 572, 'fp': 58, 'fn': 27}, {'accuracy': 0.931889, 'auroc': 0.973857, 'auprc': 0.966144, 'f1': 0.930709, 'sensitivity': 0.914861, 'specificity': 0.948916, 'tp': 591, 'tn': 613, 'fp': 33, 'fn': 55}, {'accuracy': 0.931373, 'auroc': 0.980798, 'auprc': 0.9808, 'f1': 0.931373, 'sensitivity': 0.931373, 'specificity': 0.931373, 'tp': 570, 'tn': 570, 'fp': 42, 'fn': 42}, {'accuracy': 0.94113, 'auroc': 0.986056, 'auprc': 0.98718, 'f1': 0.940711, 'sensitivity': 0.934066, 'specificity': 0.948195, 'tp': 595, 'tn': 604, 'fp': 33, 'fn': 42}, {'accuracy': 0.927116, 'auroc': 0.985853, 'auprc': 0.986033, 'f1': 0.927287, 'sensitivity': 0.929467, 'specificity': 0.924765, 'tp': 593, 'tn': 590, 'fp': 48, 'fn': 45}]"
5.0,"{'auroc': 0.6082242, 'f1': 0.574781, 'auprc': 0.5902334, 'accuracy': 0.575791, 'sensitivity': 0.5750078000000001, 'specificity': 0.5765747999999999}","{'auroc': 0.011550695073512583, 'f1': 0.01300626181430343}","[{'accuracy': 0.564286, 'auroc': 0.589428, 'auprc': 0.573031, 'f1': 0.594834, 'sensitivity': 0.639683, 'specificity': 0.488889, 'tp': 403, 'tn': 308, 'fp': 322, 'fn': 227}, {'accuracy': 0.580495, 'auroc': 0.615349, 'auprc': 0.590149, 'f1': 0.590015, 'sensitivity': 0.603715, 'specificity': 0.557276, 'tp': 390, 'tn': 360, 'fp': 286, 'fn': 256}, {'accuracy': 0.589869, 'auroc': 0.626642, 'auprc': 0.602973, 'f1': 0.557319, 'sensitivity': 0.51634, 'specificity': 0.663399, 'tp': 316, 'tn': 406, 'fp': 206, 'fn': 296}, {'accuracy': 0.566719, 'auroc': 0.597702, 'auprc': 0.576319, 'f1': 0.564669, 'sensitivity': 0.562009, 'specificity': 0.571429, 'tp': 358, 'tn': 364, 'fp': 273, 'fn': 279}, {'accuracy': 0.577586, 'auroc': 0.612, 'auprc': 0.608695, 'f1': 0.567068, 'sensitivity': 0.553292, 'specificity': 0.601881, 'tp': 353, 'tn': 384, 'fp': 254, 'fn': 285}]"
10.0,"{'auroc': 0.5130252000000001, 'f1': 0.35889540000000003, 'auprc': 0.5127364, 'accuracy': 0.5033968, 'sensitivity': 0.3258826, 'specificity': 0.680911}","{'auroc': 0.009020854744646945, 'f1': 0.15499948656923876}","[{'accuracy': 0.496825, 'auroc': 0.510034, 'auprc': 0.513897, 'f1': 0.460884, 'sensitivity': 0.430159, 'specificity': 0.563492, 'tp': 271, 'tn': 355, 'fp': 275, 'fn': 359}, {'accuracy': 0.505418, 'auroc': 0.510716, 'auprc': 0.504574, 'f1': 0.517007, 'sensitivity': 0.529412, 'specificity': 0.481424, 'tp': 342, 'tn': 311, 'fp': 335, 'fn': 304}, {'accuracy': 0.515523, 'auroc': 0.528969, 'auprc': 0.524279, 'f1': 0.368477, 'sensitivity': 0.28268, 'specificity': 0.748366, 'tp': 173, 'tn': 458, 'fp': 154, 'fn': 439}, {'accuracy': 0.500785, 'auroc': 0.497593, 'auprc': 0.501438, 'f1': 0.018519, 'sensitivity': 0.009419, 'specificity': 0.992151, 'tp': 6, 'tn': 632, 'fp': 5, 'fn': 631}, {'accuracy': 0.498433, 'auroc': 0.517814, 'auprc': 0.519494, 'f1': 0.42959, 'sensitivity': 0.377743, 'specificity': 0.619122, 'tp': 241, 'tn': 395, 'fp': 243, 'fn': 397}]"
25.0,"{'auroc': 0.504314, 'f1': 0.2571774, 'auprc': 0.5019750000000001, 'accuracy': 0.5014376, 'sensitivity': 0.2148482, 'specificity': 0.7880274}","{'auroc': 0.007805514689827949, 'f1': 0.1656494559287871}","[{'accuracy': 0.503968, 'auroc': 0.501406, 'auprc': 0.50226, 'f1': 0.057315, 'sensitivity': 0.030159, 'specificity': 0.977778, 'tp': 19, 'tn': 616, 'fp': 14, 'fn': 611}, {'accuracy': 0.495356, 'auroc': 0.492358, 'auprc': 0.496065, 'f1': 0.443686, 'sensitivity': 0.402477, 'specificity': 0.588235, 'tp': 260, 'tn': 380, 'fp': 266, 'fn': 386}, {'accuracy': 0.5, 'auroc': 0.5, 'auprc': 0.5, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 1.0, 'tp': 0, 'tn': 612, 'fp': 0, 'fn': 612}, {'accuracy': 0.517268, 'auroc': 0.518517, 'auprc': 0.507312, 'f1': 0.415954, 'sensitivity': 0.343799, 'specificity': 0.690738, 'tp': 219, 'tn': 440, 'fp': 197, 'fn': 418}, {'accuracy': 0.490596, 'auroc': 0.509289, 'auprc': 0.504238, 'f1': 0.368932, 'sensitivity': 0.297806, 'specificity': 0.683386, 'tp': 190, 'tn': 436, 'fp': 202, 'fn': 448}]"
50.0,"{'auroc': 0.5038762, 'f1': 0.2508004, 'auprc': 0.5022278, 'accuracy': 0.49986600000000003, 'sensitivity': 0.2166194, 'specificity': 0.7831124}","{'auroc': 0.008200782565338226, 'f1': 0.1804168941849244}","[{'accuracy': 0.5, 'auroc': 0.5, 'auprc': 0.5, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 1.0, 'tp': 0, 'tn': 630, 'fp': 0, 'fn': 630}, {'accuracy': 0.493034, 'auroc': 0.491692, 'auprc': 0.497956, 'f1': 0.450964, 'sensitivity': 0.416409, 'specificity': 0.569659, 'tp': 269, 'tn': 368, 'fp': 278, 'fn': 377}, {'accuracy': 0.5, 'auroc': 0.5, 'auprc': 0.5, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 1.0, 'tp': 0, 'tn': 612, 'fp': 0, 'fn': 612}, {'accuracy': 0.516484, 'auroc': 0.519341, 'auprc': 0.509343, 'f1': 0.417769, 'sensitivity': 0.346939, 'specificity': 0.686028, 'tp': 221, 'tn': 437, 'fp': 200, 'fn': 416}, {'accuracy': 0.489812, 'auroc': 0.508348, 'auprc': 0.50384, 'f1': 0.385269, 'sensitivity': 0.319749, 'specificity': 0.659875, 'tp': 204, 'tn': 421, 'fp': 217, 'fn': 434}]"
75.0,"{'auroc': 0.5042468, 'f1': 0.250903, 'auprc': 0.5022938, 'accuracy': 0.5006358000000001, 'sensitivity': 0.21571579999999999, 'specificity': 0.7855556}","{'auroc': 0.008165575068353423, 'f1': 0.18026789756362285}","[{'accuracy': 0.499206, 'auroc': 0.498414, 'auprc': 0.499603, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 0.998413, 'tp': 0, 'tn': 629, 'fp': 1, 'fn': 630}, {'accuracy': 0.497678, 'auroc': 0.493556, 'auprc': 0.497213, 'f1': 0.444825, 'sensitivity': 0.402477, 'specificity': 0.592879, 'tp': 260, 'tn': 383, 'fp': 263, 'fn': 386}, {'accuracy': 0.5, 'auroc': 0.5, 'auprc': 0.5, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 1.0, 'tp': 0, 'tn': 612, 'fp': 0, 'fn': 612}, {'accuracy': 0.515699, 'auroc': 0.519724, 'auprc': 0.510507, 'f1': 0.421743, 'sensitivity': 0.353218, 'specificity': 0.678179, 'tp': 225, 'tn': 432, 'fp': 205, 'fn': 412}, {'accuracy': 0.490596, 'auroc': 0.50954, 'auprc': 0.504146, 'f1': 0.387947, 'sensitivity': 0.322884, 'specificity': 0.658307, 'tp': 206, 'tn': 420, 'fp': 218, 'fn': 432}]"
100.0,"{'auroc': 0.5050457999999999, 'f1': 0.26257080000000005, 'auprc': 0.5028336, 'accuracy': 0.5025147999999999, 'sensitivity': 0.22482359999999998, 'specificity': 0.7802064000000001}","{'auroc': 0.009167363516694399, 'f1': 0.1760939551382336}","[{'accuracy': 0.499206, 'auroc': 0.497589, 'auprc': 0.50005, 'f1': 0.036641, 'sensitivity': 0.019048, 'specificity': 0.979365, 'tp': 12, 'tn': 617, 'fp': 13, 'fn': 618}, {'accuracy': 0.499226, 'auroc': 0.493628, 'auprc': 0.495638, 'f1': 0.454008, 'sensitivity': 0.416409, 'specificity': 0.582043, 'tp': 269, 'tn': 376, 'fp': 270, 'fn': 377}, {'accuracy': 0.5, 'auroc': 0.500817, 'auprc': 0.500409, 'f1': 0.0, 'sensitivity': 0.0, 'specificity': 1.0, 'tp': 0, 'tn': 612, 'fp': 0, 'fn': 612}, {'accuracy': 0.522763, 'auroc': 0.522769, 'auprc': 0.512891, 'f1': 0.433892, 'sensitivity': 0.365777, 'specificity': 0.679749, 'tp': 233, 'tn': 433, 'fp': 204, 'fn': 404}, {'accuracy': 0.491379, 'auroc': 0.510426, 'auprc': 0.50518, 'f1': 0.388313, 'sensitivity': 0.322884, 'specificity': 0.659875, 'tp': 206, 'tn': 421, 'fp': 217, 'fn': 432}]"
