Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9644064,0.999379,0.9994114,0.9658827999999999,0.9987400000000001,0.9300734
0.25,0.9634499999999999,0.9988238,0.9988502,0.9649238,0.9968271999999999,0.9300734
0.5,0.9620208000000001,0.9979274,0.9979974,0.9634886,0.9939686,0.9300734
1.0,0.9567732,0.9952080000000001,0.9954721999999998,0.9581738,0.9834736,0.9300734
5.0,0.82061,0.915367,0.9204648000000001,0.7968086000000001,0.7111470000000001,0.9300734
10.0,0.6543353999999999,0.7771934,0.7807684,0.5167225999999999,0.3785974,0.9300734
25.0,0.5389430000000001,0.6049788000000001,0.5971282,0.2383576,0.14781280000000002,0.9300734
50.0,0.5169138,0.5461104000000001,0.5431996,0.1732806,0.1037544,0.9300734
75.0,0.5123512,0.5299137999999999,0.5293715999999999,0.1591476,0.09462940000000002,0.9300734
100.0,0.5109246,0.5229586,0.5237392000000001,0.15431840000000002,0.0917756,0.9300734
