Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9718816666666666,0.9999816666666667,0.9999823333333334,0.9729176666666667,1.0,0.9437636666666666
0.25,0.9709279999999999,0.9995626666666667,0.999609,0.9719640000000002,0.9980923333333332,0.9437636666666666
0.5,0.968871,0.9990973333333333,0.9991866666666667,0.9699,0.9939786666666667,0.9437636666666666
1.0,0.9658463333333334,0.9977166666666667,0.9980913333333333,0.9668420000000001,0.9879296666666667,0.9437636666666666
5.0,0.8777806666666667,0.965894,0.9696996666666666,0.867289,0.8117976666666666,0.9437636666666666
10.0,0.7593853333333334,0.890056,0.9016643333333333,0.6973513333333333,0.5750069999999999,0.9437636666666666
25.0,0.5853126666666667,0.7097220000000001,0.7155756666666666,0.34410333333333337,0.22686166666666666,0.9437636666666666
50.0,0.5143686666666668,0.592663,0.5777703333333334,0.14412533333333333,0.08497366666666667,0.9437636666666666
75.0,0.5042433333333333,0.550348,0.5379269999999999,0.11107966666666667,0.06472299999999999,0.9437636666666666
100.0,0.5021973333333333,0.5331056666666666,0.5244576666666667,0.10432366666666666,0.06063100000000001,0.9437636666666666
