mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
full,1,full,1,0.015400025545701048,1590.3304998874664,2907.58251953125
full,1,full,2,0.005024735870926407,1571.1098322868347,2907.58251953125
full,1,full,3,0.001307701452047804,1569.8553340435028,2907.62744140625
full,1,full,4,0.0043526527501624186,1570.0865125656128,2907.58251953125
full,1,full,5,2.121544069724748e-05,1569.9930019378662,2907.58251953125
full,2,full,1,0.010326967147623706,1561.8318221569061,2909.08837890625
full,2,full,2,0.011428367053526421,1559.3876514434814,2909.08837890625
full,2,full,3,0.002406214976261773,1559.5850760936737,2909.08837890625
full,2,full,4,0.005679684808359208,1560.3078615665436,2909.13134765625
full,2,full,5,7.105898910176331e-05,1559.5390331745148,2909.13134765625
full,3,full,1,0.01613355095659612,1583.068818807602,2909.08837890625
full,3,full,2,0.0033953375962348822,1578.6340644359589,2909.08837890625
full,3,full,3,0.000496656167221564,1580.7554380893707,2909.08837890625
full,3,full,4,2.9355986213450138e-05,1582.1155393123627,2909.08837890625
full,3,full,5,7.950137218241683e-06,1581.0288908481598,2909.08837890625
full,4,full,1,0.014925036804556781,1571.0059089660645,2909.08837890625
full,4,full,2,0.00010506334813185334,1567.9379699230194,2909.08837890625
full,4,full,3,2.3603474316380152e-05,1563.6378734111786,2909.08837890625
full,4,full,4,0.009529936474857809,1561.3155982494354,2909.08837890625
full,4,full,5,0.0008869336784271904,1560.0549597740173,2909.08837890625
full,5,full,1,0.017369310078582296,1562.017893075943,2909.08837890625
full,5,full,2,0.006428214375405274,1559.512371301651,2909.08837890625
full,5,full,3,6.387811390883558e-05,1560.517899274826,2909.08837890625
full,5,full,4,2.6877508562277777e-05,1558.4011178016663,2909.08837890625
full,5,full,5,0.006849670051083136,1559.007087945938,2909.08837890625
