Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9995314000000001,1.0,1.0,0.999531,0.9990629999999999,1.0
0.25,0.9031723999999999,0.988378,0.9932122,0.8924065999999999,0.8063448000000001,1.0
0.5,0.772361,0.9618598,0.9768992000000001,0.7016307999999999,0.5447226000000001,1.0
1.0,0.594751,0.8852654000000001,0.9239445999999999,0.3139608,0.1895016,1.0
5.0,0.500958,0.5389818,0.5813974,0.0038218,0.001916,1.0
10.0,0.5,0.5058446,0.5214674,0.0,0.0,1.0
25.0,0.5,0.5027278000000001,0.5062832,0.0,0.0,1.0
50.0,0.5,0.5024354,0.5035216,0.0,0.0,1.0
75.0,0.5,0.5023854,0.5031034,0.0,0.0,1.0
100.0,0.5,0.5023801999999999,0.502879,0.0,0.0,1.0
