mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
full,1,full,1,0.3746963751234984,1653.8252906799316,2907.58251953125
full,1,full,2,0.3070866890510174,1633.8364090919495,2907.58251953125
full,1,full,3,0.2860369399859796,1633.475047826767,2907.62744140625
full,1,full,4,0.2774418934133809,1633.5817387104034,2907.58251953125
full,1,full,5,0.2535670501259317,1632.8544609546661,2907.58251953125
full,2,full,1,0.3764464189135839,1628.864514350891,2909.08837890625
full,2,full,2,0.30304128285793086,1627.0675995349884,2909.08837890625
full,2,full,3,0.28137152199411675,1627.8884406089783,2909.08837890625
full,2,full,4,0.26486451894281404,1627.9743015766144,2909.13134765625
full,2,full,5,0.25359147991689424,1626.7234539985657,2909.13134765625
full,3,full,1,0.364911936690628,1646.7396931648254,2909.08837890625
full,3,full,2,0.3051253042058278,1644.1739885807037,2909.08837890625
full,3,full,3,0.27329634299332445,1644.500955581665,2909.08837890625
full,3,full,4,0.2655949948069444,1644.516933441162,2909.08837890625
full,3,full,5,0.2393236756485341,1644.5817003250122,2909.08837890625
full,4,full,1,0.38097602535699365,1629.560359954834,2909.08837890625
full,4,full,2,0.3083328807408202,1628.833587884903,2909.08837890625
full,4,full,3,0.27981208158138243,1628.8599698543549,2909.08837890625
full,4,full,4,0.2638343073504305,1629.869127035141,2909.08837890625
full,4,full,5,0.2522694493814878,1629.5463185310364,2909.08837890625
full,5,full,1,0.384047596125946,1628.9148623943329,2909.08837890625
full,5,full,2,0.3073996663671223,1628.213762998581,2909.08837890625
full,5,full,3,0.27665316582291943,1626.8420782089233,2909.08837890625
full,5,full,4,0.2710044647631813,1627.2925651073456,2909.08837890625
full,5,full,5,0.2522414660411356,1627.592319726944,2909.08837890625
