Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9551176,0.999591,0.9996921999999999,0.9573136,0.999373,0.9108626000000001
0.25,0.9528984000000001,0.9986843999999999,0.9987704000000001,0.9550881999999999,0.9949344,0.9108626000000001
0.5,0.9506589999999999,0.9974744000000001,0.9976678,0.9528294,0.9904556,0.9108626000000001
1.0,0.9460772000000001,0.9943944,0.9950626,0.9481822,0.9812924000000001,0.9108626000000001
5.0,0.8797964,0.9572216000000001,0.9632259999999999,0.8756098,0.8487306,0.9108626000000001
10.0,0.7965736,0.8935510000000001,0.9087028,0.769206,0.6822839999999999,0.9108626000000001
25.0,0.6266782,0.7248458,0.7434512,0.47649220000000003,0.34249399999999997,0.9108626000000001
50.0,0.5378845999999999,0.5996037999999999,0.6009328,0.25985080000000005,0.1649064,0.9108626000000001
75.0,0.5151519999999999,0.5530884,0.5500646,0.194841,0.1194412,0.9108626000000001
100.0,0.5062825999999999,0.5324897999999999,0.5298572,0.1677546,0.1017024,0.9108626000000001
