mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
full,1,full,1,0.25853352669085894,1585.4676399230957,2907.58251953125
full,1,full,2,0.2035401325668458,1569.1107664108276,2907.58251953125
full,1,full,3,0.17756687310356822,1568.591121673584,2907.62744140625
full,1,full,4,0.16472263443606908,1566.7862074375153,2907.58251953125
full,1,full,5,0.16314595324583706,1566.0166025161743,2907.58251953125
full,2,full,1,0.24779782765323208,1558.1896662712097,2909.08837890625
full,2,full,2,0.18554311987929165,1557.4120020866394,2909.08837890625
full,2,full,3,0.16737560281707417,1557.9228792190552,2909.08837890625
full,2,full,4,0.15450068379027976,1556.6156024932861,2909.13134765625
full,2,full,5,0.1479144389859386,1556.11434841156,2909.13134765625
full,3,full,1,0.24820036493784814,1580.2564706802368,2909.08837890625
full,3,full,2,0.1907277652952925,1580.1382973194122,2909.08837890625
full,3,full,3,0.16751582454233124,1579.6044886112213,2909.08837890625
full,3,full,4,0.15889099392117378,1579.5221464633942,2909.08837890625
full,3,full,5,0.13688199977637897,1580.5341846942902,2909.08837890625
full,4,full,1,0.2515719644032725,1565.7082624435425,2909.08837890625
full,4,full,2,0.18665781204111262,1565.0049736499786,2909.08837890625
full,4,full,3,0.17343299536629803,1564.2483792304993,2909.08837890625
full,4,full,4,0.1629930265554333,1564.063570022583,2909.08837890625
full,4,full,5,0.14976798525707108,1563.4082012176514,2909.08837890625
full,5,full,1,0.2588567733410982,1564.8965575695038,2909.08837890625
full,5,full,2,0.19675839085226196,1564.1908385753632,2909.08837890625
full,5,full,3,0.1732258269477848,1564.071538925171,2909.08837890625
full,5,full,4,0.15378407716067344,1563.1021196842194,2909.08837890625
full,5,full,5,0.1536742382936321,1562.952879667282,2909.08837890625
