Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9587168,0.999712,0.999737,0.9608475999999999,0.9990368000000001,0.918397
0.25,0.9576270000000001,0.9993494,0.9993922,0.9597556,0.996857,0.918397
0.5,0.9563656,0.9989546,0.9990293999999998,0.9584890000000001,0.9943342000000002,0.918397
1.0,0.9539835999999999,0.9977807999999999,0.9979910000000001,0.9560831999999999,0.9895702,0.918397
5.0,0.8795204,0.9602362,0.9651561999999998,0.8744958,0.8406435999999999,0.918397
10.0,0.7575554,0.8848573999999999,0.8926449999999999,0.7050294,0.5967136,0.918397
25.0,0.5854858000000001,0.7048328,0.7012444,0.36561459999999996,0.2525744,0.918397
50.0,0.5207776,0.5893444,0.575742,0.1956412,0.1231582,0.918397
75.0,0.5077244000000001,0.5474553999999999,0.537289,0.1570916,0.097052,0.918397
100.0,0.5036091999999999,0.5286386000000001,0.5232504,0.1456422,0.0888212,0.918397
