Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9741443333333334,0.9998326666666667,0.9998386666666667,0.9748563333333333,0.9990410000000001,0.9492473333333332
0.25,0.9733583333333332,0.9993623333333334,0.9994373333333333,0.9740696666666667,0.9974693333333334,0.9492473333333332
0.5,0.972085,0.9986113333333333,0.998799,0.9727916666666667,0.9949223333333334,0.9492473333333332
1.0,0.969538,0.997404,0.9976716666666666,0.970221,0.989828,0.9492473333333332
5.0,0.872217,0.9551080000000001,0.9604550000000001,0.8609270000000001,0.7951860000000001,0.9492473333333332
10.0,0.7338336666666666,0.8578570000000001,0.8734373333333334,0.6587436666666666,0.5184196666666666,0.9492473333333332
25.0,0.5686126666666667,0.6626626666666667,0.6735586666666666,0.30105733333333334,0.18797766666666668,0.9492473333333332
50.0,0.5173486666666666,0.5638006666666667,0.557661,0.14887433333333333,0.08544966666666666,0.9492473333333332
75.0,0.5037753333333334,0.5320413333333334,0.5254406666666667,0.104186,0.058302999999999994,0.9492473333333332
100.0,0.5012416666666667,0.518746,0.5137356666666667,0.09551399999999999,0.05323566666666666,0.9492473333333332
