Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9527323333333334,0.9992346666666667,0.999361,0.9549366666666668,0.9974833333333333,0.9079816666666666
0.25,0.9519379999999998,0.9987003333333333,0.9988376666666667,0.9541403333333333,0.9958953333333334,0.9079816666666666
0.5,0.9509896666666666,0.9967606666666665,0.9968266666666666,0.9531893333333333,0.993998,0.9079816666666666
1.0,0.9353363333333333,0.9849519999999999,0.9846769999999999,0.9372046666666666,0.9626916666666666,0.9079816666666666
5.0,0.6540293333333334,0.7921746666666666,0.7801916666666666,0.5334693333333334,0.400077,0.9079816666666666
10.0,0.5566626666666666,0.6589553333333332,0.6409400000000001,0.314618,0.20534366666666667,0.9079816666666666
25.0,0.5132213333333334,0.5531113333333333,0.542978,0.19449566666666665,0.11846166666666667,0.9079816666666666
50.0,0.50358,0.5224036666666666,0.517499,0.165435,0.099179,0.9079816666666666
75.0,0.502001,0.5142669999999999,0.5111939999999999,0.16067900000000002,0.09602,0.9079816666666666
100.0,0.5016806666666667,0.5108376666666666,0.5084749999999999,0.159587,0.09538066666666667,0.9079816666666666
