Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9598402,0.9994624,0.9996664,0.962486,0.9987366,0.9209436
0.25,0.9592018,0.9993105999999999,0.9994900000000001,0.9618456,0.99746,0.9209436
0.5,0.9582634000000001,0.999071,0.9992103999999999,0.9609,0.9955830000000001,0.9209436
1.0,0.9535450000000001,0.9975404000000001,0.9980319999999999,0.956063,0.9861464,0.9209436
5.0,0.8810013999999999,0.9573362,0.965772,0.8731536,0.8410590000000001,0.9209436
10.0,0.7703548,0.8712566,0.8928798,0.7165128,0.6197656,0.9209436
25.0,0.601315,0.6827951999999999,0.7073452,0.39074259999999994,0.28168619999999994,0.9209436
50.0,0.5303668,0.5739274,0.5822202,0.2109454,0.13978980000000002,0.9209436
75.0,0.5139514,0.5385396,0.5435156,0.16372380000000003,0.10695879999999999,0.9209436
100.0,0.5067185999999999,0.5249979999999999,0.529072,0.14251299999999997,0.0924932,0.9209436
