Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9652671999999999,0.9987098,0.998159,0.96652,1.0,0.9305344
0.25,0.9575348,0.9944492,0.993631,0.9587237999999999,0.9845353999999998,0.9305344
0.5,0.9443484,0.9884338000000001,0.9872223999999999,0.9451053999999999,0.9581626,0.9305344
1.0,0.9095536,0.9704148,0.9678697999999999,0.9072878,0.8885726,0.9305344
5.0,0.5977724,0.743806,0.7268288,0.39388500000000004,0.2650104,0.9305344
10.0,0.531532,0.61202,0.5980764000000001,0.21883760000000002,0.1325288,0.9305344
25.0,0.5063226000000001,0.5379384,0.5331308,0.1412988,0.082111,0.9305344
50.0,0.5021950000000001,0.5201268000000001,0.5176339999999999,0.12807759999999999,0.0738554,0.9305344
75.0,0.5007646,0.5152314,0.5136574,0.123665,0.0709946,0.9305344
100.0,0.5002880000000001,0.5126000000000001,0.5115266,0.12203340000000003,0.07004160000000001,0.9305344
