Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9743873333333334,0.9997866666666667,0.999818,0.9750223333333334,0.9996783333333333,0.9490966666666666
0.25,0.973436,0.9995353333333333,0.9995826666666666,0.9740693333333333,0.9977746666666666,0.9490966666666666
0.5,0.9728056666666666,0.9990633333333333,0.999167,0.9734376666666668,0.9965146666666667,0.9490966666666666
1.0,0.967907,0.9975203333333335,0.997782,0.9684996666666666,0.9867176666666667,0.9490966666666666
5.0,0.8585806666666667,0.9403546666666666,0.948535,0.8439783333333333,0.7680643333333332,0.9490966666666666
10.0,0.7334186666666667,0.8432176666666665,0.8585596666666667,0.6590366666666666,0.5177406666666666,0.9490966666666666
25.0,0.568064,0.6615863333333333,0.6697796666666666,0.3013643333333333,0.18703133333333333,0.9490966666666666
50.0,0.514855,0.5629113333333334,0.5576573333333333,0.14242533333333335,0.08061366666666665,0.9490966666666666
75.0,0.5034930000000001,0.530658,0.525836,0.10436,0.05788966666666667,0.9490966666666666
100.0,0.5014393333333333,0.516873,0.5143116666666666,0.09733766666666667,0.05378233333333334,0.9490966666666666
