Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9579396666666667,0.998779,0.998777,0.9596836666666667,0.9981063333333333,0.9177726666666667
0.25,0.9419926666666667,0.9869566666666666,0.988015,0.9434813333333333,0.9662133333333333,0.9177726666666667
0.5,0.9141203333333334,0.9689103333333332,0.9716623333333333,0.913917,0.9104686666666666,0.9177726666666667
1.0,0.8512049999999999,0.930473,0.934317,0.8405823333333333,0.7846366666666666,0.9177726666666667
5.0,0.571562,0.6771570000000001,0.6715716666666666,0.3423576666666666,0.225351,0.9177726666666667
10.0,0.5243923333333332,0.5780456666666667,0.5742943333333334,0.21398166666666665,0.13101266666666667,0.9177726666666667
25.0,0.5053903333333334,0.523652,0.520242,0.15687833333333331,0.09300833333333335,0.9177726666666667
50.0,0.49970966666666666,0.5090973333333334,0.5062476666666665,0.138599,0.08164633333333333,0.9177726666666667
75.0,0.49814866666666663,0.5048806666666666,0.5023106666666667,0.133704,0.078525,0.9177726666666667
100.0,0.497192,0.5028619999999999,0.500449,0.13060066666666667,0.076611,0.9177726666666667
