Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.7692558,0.8724596,0.9114058,0.7859356,0.8395944,0.6989171999999999
0.25,0.7293834,0.8199168,0.8680717999999998,0.7234057999999999,0.7598496,0.6989171999999999
0.5,0.7143941999999999,0.8030366000000001,0.8514692,0.6993436,0.7298714000000001,0.6989171999999999
1.0,0.7003375999999999,0.7806964000000001,0.8263326,0.6768096,0.7017580000000001,0.6989171999999999
5.0,0.5881048000000001,0.6019102000000001,0.6498272,0.4826916,0.477292,0.6989171999999999
10.0,0.5332051999999999,0.5157006,0.5472028,0.35680680000000004,0.3674928,0.6989171999999999
25.0,0.5070914,0.49378299999999997,0.49896799999999997,0.28070259999999997,0.31526540000000003,0.6989171999999999
50.0,0.5051786,0.496695,0.4960116,0.27203900000000003,0.31144,0.6989171999999999
75.0,0.505177,0.4982322,0.4969754,0.2720838,0.3114370000000001,0.6989171999999999
100.0,0.5051768,0.4989464,0.49765040000000005,0.2718768,0.3114364,0.6989171999999999
